Image_ID,Window,Door, shops shutter, Bench and Food stands,Brick wall with fence,Steps,Bulletin board,Bike,Motor Bike,Metal Fence,Flower,Flower box,Symbol and Sign,Grass,Plant cover,Path and sidewalk,Person in group,Person standing,Person sitting,Trees with oval shape,Wall,Water,Trees with columnar shape,Buildings wall,Buildings with column,Autos,Sky,Palm trees,Dome,Sunshade,Class_34
AmadMid,0,0,0,0,5067,0,0,0,1331,2,0,0,0,0,31766,402261,0,217,0,0,0,0,58048,0,141,25647,15185,67102,0,0,0
AmadMid,0,13112,0,638,213,7317,1308,0,422,952,0,0,0,292,73401,388906,0,2427,0,0,1682,320,125903,0,15143,0,52615,9288,0,0,0
AmadMid,0,44,0,283,0,23915,24,0,3821,27,0,0,0,4706,17553,261617,0,0,0,0,15949,346,121508,0,0,41028,49733,712,0,0,0
AmadMid,0,0,0,68,0,0,860,0,0,0,0,0,0,245,34312,401291,0,16,0,0,1,0,58673,0,0,0,37594,0,0,0,0
AmadMid,0,0,0,73,0,0,25,0,0,0,0,0,0,39,145813,326507,0,10148,0,0,0,1598,44220,0,0,4398,29504,32839,0,0,0
AmadMid,0,985,0,2313,728,0,233,0,0,62,0,0,0,166,115770,337904,0,36,0,0,0,0,42552,0,0,17512,55483,19857,0,0,0
AmadMid,0,3,0,1702,31,0,24,0,0,70,0,0,0,690,22119,418896,0,4286,0,0,156,24,58447,0,0,0,47400,9167,0,0,0
AmadMid,0,0,0,0,0,0,0,0,18507,2858,0,0,0,292,30685,479148,0,626,0,0,0,0,69223,0,0,4240,30991,0,0,0,0
AmadMid,0,140,0,27,0,0,315,0,0,964,0,0,0,74,7251,494081,0,2087,0,0,0,0,132048,0,0,0,113858,0,0,0,0
AmadMid,0,22,0,17158,0,0,10775,0,3917,577,0,0,0,0,7487,453697,15,188,0,0,46,0,88432,0,0,11430,53025,0,0,0,0
AmadMid,0,0,0,0,0,0,58,0,0,0,0,0,0,10332,65842,440497,0,148,0,0,0,39,104588,0,0,0,38625,25737,0,0,0
AmadMid,0,25,60,0,0,0,0,0,530,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,114922,8913,73014,0,0,0
AmadMid,0,0,0,53,0,0,16,0,0,0,0,0,0,1788,49425,407136,0,5073,763,0,0,0,16867,0,0,0,150356,45535,0,0,0
AmadMid,0,1090,0,3017,7235,89,541,0,0,15734,0,0,0,150,49551,388075,0,699,0,0,5478,1793,25633,0,0,8860,12653,23475,0,0,0
AmadR,118,0,0,6,0,0,0,0,0,1757,0,0,0,0,28543,273656,0,0,0,0,2,0,678,0,0,0,71049,144186,0,0,0
AmadR,1100,3,0,0,551,0,0,0,61,704,0,0,0,0,127,440544,0,3477,0,0,0,281,75379,0,0,18335,31359,86963,0,0,0
AmadR,215,119304,73500,0,4585,0,802,0,0,4256,0,0,1,150,23867,267337,0,32636,0,0,4469,64,15548,0,0,0,72,3884,0,0,0
AmadR,0,63865,746,0,4436,0,15,0,12,0,0,0,1558,493,1791,345057,0,4551,0,0,0,0,69253,0,0,5080,27026,0,0,0,0
AmadR,0,58,5933,65,4385,3,1345,0,0,0,0,0,1278,135,65384,222772,0,241,0,0,164,122,29839,0,0,0,49757,70371,0,0,0
AmadR,0,108,23489,34,24558,1124,1263,0,0,6158,0,0,0,22,30258,322636,0,6,0,0,1727,644,127194,0,0,0,8890,0,0,0,0
AmadR,0,0,0,0,600,628,0,0,0,5,0,0,31,18,736,216078,0,527,0,0,68686,5,27341,0,0,0,73240,0,0,0,0
AmadR,0,19819,256,0,7,0,0,0,0,0,0,0,300,543,2134,441009,0,3457,0,0,0,0,79946,0,0,0,72612,0,0,0,0
AmadR,0,726,33859,6612,16714,28,1542,0,0,1893,0,0,0,0,29270,258051,0,586,0,0,11858,86,98032,0,0,0,2039,40,0,0,0
AmadR,0,63551,338,0,4292,0,0,0,20,0,0,0,1287,553,1832,341890,0,7022,0,0,0,0,73834,0,0,6088,27045,0,0,0,0
AmadR,0,0,0,3276,741,223,7,0,0,0,0,0,0,0,65637,296727,0,0,0,0,2050,1142,53124,0,99,5029,166396,108846,0,0,0
AmadR,0,0,0,2156,0,451,164,0,0,1330,0,0,0,0,125021,174287,0,2768,0,0,20470,2620,25374,0,0,0,1576,72251,0,0,0
AmadR,0,0,2090,19314,0,27,1458,0,0,63443,0,0,849,44,40333,347326,0,1732,0,0,5335,2453,144474,0,0,0,7159,0,0,0,0
AmadR,0,2400,595,0,0,0,116,1253,1027,370,0,0,0,0,61,420784,0,4965,0,0,40,915,70397,0,0,0,31395,0,0,0,0
AmadR,0,43,47,26891,3189,0,0,0,0,31377,0,0,0,192,4259,369962,0,0,0,0,0,0,109961,0,0,0,13596,0,0,0,0
AmadR,0,0,0,4,0,381,0,0,0,0,0,0,24,0,0,13091,0,35,0,0,123894,19,33,0,0,0,0,0,0,0,0
AmadR,11,0,0,0,0,0,251,0,0,6588,0,0,0,0,595,34052,0,0,0,0,0,0,0,0,0,0,29956,178276,0,0,0
AmadR,0,74,0,28,876,15502,366,0,0,0,0,0,2418,0,58099,279343,0,0,0,0,58950,4703,24245,0,111,0,69983,80554,0,0,0
ChbaghDarDol,0,63,0,11536,0,0,292,0,0,0,0,0,0,35,41827,335687,0,33571,1511,0,21,245,110633,0,0,0,91981,0,0,0,0
ChbaghDarDol,0,0,0,65804,0,205,1418,0,0,0,0,0,5432,0,0,449275,0,5164,0,0,651,4361,53701,0,0,0,174546,0,0,630,0
ChbaghDarDol,0,0,0,15627,0,0,885,0,1175,0,0,0,0,33,51627,290173,0,6197,0,0,0,83857,76669,0,0,0,158083,0,0,93,0
ChbaghDarDol,0,1101,0,1354,579,0,78,0,0,514,0,0,472,0,9832,338590,0,32864,0,0,0,0,16240,0,0,0,195681,0,0,0,0
ChbaghDarDol,0,243,0,2224,0,0,0,0,0,22,0,0,2908,0,1266,369706,147,25960,0,0,690,19,6748,0,0,0,176458,0,0,6,0
ChbaghDarDol,0,38,0,10519,0,0,453,0,0,0,0,0,0,4,32338,278148,0,44279,0,0,0,29,149886,0,40,0,90223,0,0,0,0
ChbaghDarDol,0,0,0,65024,0,1548,674,0,0,0,0,0,0,0,271,331543,0,16016,0,0,8,73816,33440,0,0,0,224013,0,0,0,0
ChbaghDarDol,0,223,347,7171,0,0,0,0,10,0,0,0,991,0,2828,397885,0,29207,0,0,320,0,17766,0,0,329,171551,0,0,0,0
ChbaghDarDol,0,0,10097,0,0,59,61,0,0,0,0,0,262,253,47124,116944,64,1707,0,0,17083,63266,237477,0,0,0,190126,0,0,17234,0
ChbaghL,0,6458,0,0,0,0,0,0,0,15,0,0,0,79,68063,168569,0,15600,0,0,0,1790,171135,0,313,0,1872,0,0,5227,0
ChbaghL,0,37,97572,38,0,0,0,0,0,0,0,0,0,36,36750,187759,0,27506,0,0,0,209,130619,0,0,0,0,0,0,0,0
ChbaghL,0,0,0,199,0,0,542,0,0,0,0,0,0,4,53704,353609,0,7786,0,0,0,323,135161,0,0,8,15261,0,0,0,0
ChbaghL,0,1488,0,0,0,0,22,0,0,0,0,0,0,0,42331,307867,0,4379,0,0,0,0,80249,0,204,0,32,0,0,0,0
ChbaghL,0,5990,130,2785,0,0,1138,0,0,24,0,0,688,343,84526,194443,0,20359,0,0,0,4911,169908,0,0,0,413,0,0,130,0
ChbaghL,0,0,0,0,0,0,0,1354,8357,0,0,0,0,1111,44248,290600,11,15516,0,0,0,163,121473,0,0,0,11,0,0,0,0
ChbaghL,0,11647,0,347,893,0,1,0,201,0,0,0,1039,203,58578,171226,18,18630,0,0,374,144,123711,0,3593,0,0,0,0,296,0
ChbaghL,0,0,0,0,0,0,79,0,0,0,0,0,0,196,42938,275843,0,2864,0,0,0,631,122005,0,0,0,18,0,0,2529,0
ChbaghL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32796,341217,0,10339,0,0,0,0,129083,0,0,0,811,0,0,0,0
ChbaghL,0,2475,76510,0,0,0,0,0,0,157,0,0,0,323,43343,155064,0,33906,0,0,0,567,99977,0,0,0,0,0,0,0,0
ChbaghL,0,4,0,707,0,0,102,0,0,0,0,0,0,20,22174,261371,425,88316,0,0,0,0,150660,0,780,0,115,0,0,0,0
ChbaghL,0,2861,0,263,0,0,1605,0,0,0,0,0,0,4727,67365,112186,2968,39903,0,0,0,802,87256,0,0,0,30,0,0,0,0
ChbaghL,0,0,0,2309,0,0,0,0,0,0,0,0,0,8,25027,379298,0,4017,0,0,0,0,63617,0,0,0,9,0,0,0,0
ChbaghL,0,2486,834,0,5717,0,0,0,0,64,0,0,0,0,38903,158428,0,39573,0,0,0,0,74752,0,0,0,244,0,0,0,0
ChbaghL,0,0,0,837,0,0,3050,1936,2115,0,0,0,0,15,60213,342829,394,1396,0,0,0,0,333406,0,0,0,94,0,0,0,0
ChbaghL,0,19822,15377,8783,0,0,284,0,0,0,0,0,4349,0,3911,170235,301,115487,0,0,1035,71,15449,0,739,0,3244,0,0,11,0
ChbaghL,0,0,0,5120,0,0,1934,0,0,0,0,0,0,275,45192,311169,0,6997,0,0,367,0,111823,0,0,0,12221,0,0,0,0
ChbaghL,0,3400,2740,1684,46,0,223,0,0,0,0,0,0,0,13661,77829,3144,90801,0,0,0,129,71495,0,0,0,23351,0,0,0,0
ChbaghL,0,0,0,0,0,0,21,0,0,0,0,0,0,0,9948,291843,3776,39419,0,0,0,0,138617,0,0,0,10345,0,0,0,0
ChbaghL,0,0,0,0,0,0,0,0,0,0,0,0,0,17,54343,276556,0,5312,0,0,0,139,161440,0,0,0,37,0,0,0,0
ChbaghL,0,403,0,8,0,0,0,0,0,0,0,0,0,0,38935,251985,17,19464,0,0,0,140,118234,0,0,0,503,0,0,1230,0
ChbaghL,0,254,0,0,6318,0,0,0,0,2,0,0,0,0,55870,237304,568,5933,0,0,0,454,62139,0,120,0,0,0,0,3808,0
ChbaghL,0,0,0,3560,0,0,60,0,0,0,0,0,0,12,59906,324352,0,2857,0,0,0,0,152845,0,0,0,37940,0,0,0,0
ChbaghMid,0,0,0,0,0,14662,0,0,0,0,0,0,0,0,0,824,0,0,9360,0,0,63353,75680,0,0,0,557,0,0,11,0
ChbaghMid,0,0,0,0,0,27,0,0,0,0,0,0,75,388,48203,251678,0,17385,0,0,0,51567,157834,0,0,0,0,0,0,5560,0
ChbaghMid,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47799,264470,0,6178,88,0,0,75380,155293,0,0,0,23906,0,0,0,0
ChbaghMid,0,0,0,20,0,0,15,0,0,0,0,0,0,181,35934,244878,0,11536,0,0,0,62516,89476,0,0,0,1286,0,0,767,0
ChbaghMid,0,0,0,0,0,0,0,0,0,0,0,0,0,269,55076,241038,0,13369,0,0,0,60541,103361,0,0,0,1747,0,0,0,0
ChbaghMid,0,0,0,0,0,0,0,0,0,0,0,0,0,2679,12362,170417,0,35840,642,0,0,91578,544153,0,0,0,603,0,0,0,0
ChbaghMid,0,0,0,9707,0,0,0,0,0,0,0,0,0,600,33502,154128,0,57984,14261,0,0,62389,151595,0,0,0,9327,0,0,0,0
ChbaghMid,0,0,0,237,0,0,0,0,0,0,0,0,0,0,58277,281368,0,5666,0,0,0,76703,130122,0,0,0,4017,0,0,0,0
ChbaghMid,0,0,0,1240,0,0,35,0,0,0,0,0,0,13203,51162,249877,0,13551,0,0,0,56908,179549,0,0,11,5725,0,0,366,0
ChbaghMid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30821,249874,1753,28164,0,0,160,68348,67910,0,0,0,239,0,0,2478,0
ChbaghMid,0,0,0,0,0,84031,0,0,0,0,0,0,0,0,4083,116,0,129,0,0,0,59790,1117,0,0,0,0,0,0,453,0
ChbaghMid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31969,237570,0,14291,0,0,0,67011,111067,0,0,0,2870,0,0,0,0
ChbaghMid,0,0,0,1095,0,0,0,406,118,0,0,0,0,11,56381,175919,0,11985,0,0,0,48612,232758,0,0,0,0,0,0,0,0
ChbaghMid,0,0,19,0,0,0,0,0,0,0,0,0,204020,0,3881,48145,0,2800,14,0,0,0,0,0,0,0,188,0,0,107,0
ChbaghMid,0,0,0,1095,0,0,126,0,0,0,0,0,0,489,23169,225661,0,47794,1841,0,0,69815,211902,0,0,0,5461,0,0,0,0
ChbaghR,0,27,21,228958,0,0,0,0,0,0,0,0,0,0,0,25755,0,51070,0,0,0,0,5661,0,0,0,691,0,0,0,0
ChbaghR,0,3,0,0,0,0,27,255,742,0,0,0,0,10,29557,301171,54,25083,0,0,0,0,116695,0,0,0,13561,0,0,0,0
ChbaghR,0,0,0,0,0,0,0,345,43,31,0,0,0,0,49731,296470,0,24046,0,0,0,0,86711,0,142,0,1373,0,0,0,0
ChbaghR,4692,79,656,0,0,0,0,0,0,1013,0,0,0,0,41365,260476,1305,37838,0,0,0,175,49751,0,0,0,2973,271,0,0,0
ChbaghR,0,37,0,0,0,0,0,0,0,0,0,0,0,0,64743,340161,0,13492,0,0,0,0,233845,0,11,0,11771,0,0,0,0
ChbaghR,0,0,0,0,0,0,0,0,0,0,0,0,2745,1,54524,320010,0,10105,0,0,0,0,86303,0,0,0,4584,0,0,0,0
ChbaghR,0,0,313351,0,0,0,0,0,0,0,0,0,0,0,1254,6444,16907,204,0,0,0,0,10025,0,0,0,19281,0,0,0,0
ChbaghR,0,0,0,0,0,0,0,0,0,0,0,0,3131,37,45082,336549,0,0,0,0,0,0,88707,0,62,0,7439,0,0,0,0
ChbaghR,0,0,0,31,3928,28697,0,0,0,0,0,0,2589,0,824,75742,0,0,0,0,22991,2075,30026,0,0,0,0,0,0,0,0
ChbaghR,0,283,0,244,0,0,210,0,0,0,0,0,0,66,49354,236288,0,38673,0,0,0,197,437438,0,0,0,21069,0,0,0,0
ChbaghR,0,0,0,0,0,0,0,0,0,0,0,0,164,1440,22118,252092,0,5657,0,0,0,0,175767,0,0,0,0,0,0,0,0
ChbaghR,0,32,0,0,0,0,0,0,0,0,0,0,0,68,58095,297471,47,11376,0,0,0,3966,237103,0,0,0,11698,0,0,308,0
ChbaghR,0,592,2258,762,0,25161,0,0,0,0,0,0,0,375,28419,159995,162,8255,0,0,13,3723,105645,0,91146,0,14204,0,0,1146,0
ChbaghR,0,5597,45677,0,334,0,40,0,0,0,0,0,0,316,20397,49353,0,69989,0,0,0,0,116134,0,0,0,0,0,0,0,0
ChbaghR,0,0,0,0,0,0,0,34623,2109,0,0,0,0,0,109,14928,4507,0,0,0,0,0,1346,0,0,0,0,0,0,0,0
ChbaghR,0,0,0,0,6510,0,0,0,0,8,0,0,0,0,1208,3186,0,3941,0,0,0,0,67089,0,0,0,84,0,0,0,0
ChbaghR,0,8053,0,54,0,0,648,0,0,26,0,0,0,348,40703,294689,0,2470,0,0,0,680,112930,0,0,0,54,0,0,1783,0
